date,open,high,low,close,volume,oi
2019-05-21 13:59:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:00:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:01:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:02:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:03:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:04:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:05:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:06:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:07:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:08:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:09:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:10:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:11:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:12:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:13:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:14:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:15:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:16:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:17:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:18:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:19:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:20:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:21:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:22:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:23:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:24:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:25:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:26:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:27:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:28:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:29:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:30:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:31:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:32:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:33:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:34:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:35:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:36:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:37:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:38:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:39:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:40:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:41:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:42:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:43:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:44:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:45:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:46:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:47:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:48:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:49:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:50:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:51:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:52:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:53:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:54:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:55:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:56:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:57:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:58:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 14:59:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:00:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:01:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:02:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:03:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:04:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:05:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:06:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:07:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:08:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:09:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:10:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:11:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:12:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:13:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:14:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:15:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:16:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:17:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:18:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:19:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:20:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:21:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:22:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:23:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:24:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:25:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:26:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:27:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:28:00,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-21 15:29:01,1800.00,1800.00,1800.00,1800.00,0,160
2019-05-23 15:24:00,1740.05,1740.05,1740.05,1740.05,0,140
2019-05-23 15:25:00,1740.05,1740.05,1740.05,1740.05,0,140
2019-05-23 15:26:00,1740.05,1740.05,1740.05,1740.05,0,140
2019-05-23 15:27:00,1740.05,1740.05,1740.05,1740.05,0,140
2019-05-23 15:28:00,1740.05,1740.05,1740.05,1740.05,0,140
2019-05-23 15:29:01,1740.05,1740.05,1740.05,1740.05,0,140
