date,open,high,low,close,volume,oi
2019-07-31 14:16:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:17:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:18:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:19:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:20:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:21:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:22:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:23:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:24:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:25:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:26:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:27:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:28:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:29:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:30:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:31:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:32:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:33:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:34:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:35:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:36:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:37:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:38:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:39:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:40:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:41:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:42:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:43:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:44:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:45:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:46:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:47:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:48:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:49:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:50:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:51:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:52:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:53:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:54:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:55:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:56:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:57:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:58:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 14:59:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:00:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:01:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:02:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:03:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:04:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:05:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:06:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:07:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:08:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:09:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:10:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:11:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:12:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:13:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:14:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:15:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:16:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:17:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:18:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:19:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:20:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:21:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:22:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:23:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:24:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:25:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:26:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:27:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:28:00,2850.00,2850.00,2850.00,2850.00,0,40
2019-07-31 15:29:01,2850.00,2850.00,2850.00,2850.00,0,40
2019-01-08 15:03:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:04:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:05:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:06:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:07:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:08:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:09:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:10:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:11:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:12:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:13:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:14:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:15:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:16:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:17:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:18:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:19:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:20:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:21:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:22:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:23:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:24:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:25:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:26:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:27:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:28:00,3125.00,3125.00,3125.00,3125.00,0,40
2019-01-08 15:29:01,3125.00,3125.00,3125.00,3125.00,0,40
2019-08-08 11:37:00,3838.75,3838.75,3834.95,3834.95,60,120
2019-08-08 11:38:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:39:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:40:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:41:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:42:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:43:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:44:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:45:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:46:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:47:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:48:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:49:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:50:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:51:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:52:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:53:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:54:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:55:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:56:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:57:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:58:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 11:59:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:00:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:01:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:02:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:03:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:04:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:05:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:06:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:07:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:08:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:09:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:10:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:11:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:12:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:13:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:14:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:15:00,3834.95,3834.95,3834.95,3834.95,0,120
2019-08-08 12:16:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:17:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:18:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:19:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:20:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:21:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:22:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:23:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:24:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:25:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:26:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:27:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:28:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:29:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:30:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:31:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:32:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:33:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:34:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:35:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:36:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:37:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:38:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:39:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:40:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:41:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:42:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:43:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:44:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:45:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:46:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:47:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:48:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:49:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:50:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:51:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:52:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:53:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:54:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:55:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:56:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:57:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:58:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 12:59:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:00:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:01:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:02:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:03:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:04:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:05:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:06:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:07:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:08:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:09:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:10:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:11:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:12:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:13:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:14:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:15:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:16:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:17:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:18:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:19:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:20:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:21:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:22:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:23:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:24:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:25:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:26:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:27:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:28:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:29:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:30:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:31:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:32:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:33:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:34:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:35:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:36:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:37:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:38:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:39:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:40:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:41:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:42:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:43:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:44:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:45:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:46:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:47:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:48:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:49:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:50:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:51:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:52:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:53:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:54:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:55:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:56:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:57:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:58:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 13:59:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:00:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:01:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:02:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:03:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:04:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:05:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:06:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:07:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:08:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:09:00,3834.95,3834.95,3834.95,3834.95,0,0
2019-08-08 14:10:00,3834.95,3834.95,3834.95,3834.95,0,0
